track_id,title,extension,s3_url,collection_folder,album_folder,SKU,type,Description,audio_url,image_url,video_url,price,in_stock,categories,content_type
06_politicians,Politicians,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/│   ├── 06_politicians.ipynb,,,,media,,,,,,,,notebook
06_politicians,Politicians,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/│   ├── 06_politicians.md,,,,media,,,,,,,,lyrics
07_the_vow,The Vow,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/│   ├── 07_the_vow.ipynb,,,,media,,,,,,,,notebook
07_the_vow,The Vow,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/│   ├── 07_the_vow.md,,,,media,,,,,,,,lyrics
└Singles_Arsenal,└Singles Arsenal,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/│   └── Singles_Arsenal.md,,,,media,,,,,,,,lyrics
01_swordfish,Swordfish,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/│   │   ├── 01_swordfish.ipynb,,,,media,,,,,,,,notebook
01_swordfish,Swordfish,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/│   │   ├── 01_swordfish.md,,,,media,,,,,,,,lyrics
02_full_disclosure_lyrics-compilation,Full Disclosure Lyrics-Compilation,html,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/│   │   ├── 02_full_disclosure_lyrics-compilation.html,,,,media,,,,,,,,web
02_mic_check,Mic Check,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/│   │   ├── 02_mic_check.ipynb,,,,media,,,,,,,,notebook
02_mic_check,Mic Check,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/│   │   ├── 02_mic_check.md,,,,media,,,,,,,,lyrics
